#;artist;song;total;trackId
182;Lady Gaga & Bruno Mars;Die With A Smile;5;https://open.spotify.com/track/7so0lgd0zP2Sbgs2d7a1SZ
183;Lil Wayne Featuring Static Major;Lollipop;5;https://open.spotify.com/track/1pm7lQGl6mvKWDxesZTVFp
184;Lulu;To Sir With Love;5;https://open.spotify.com/track/2SJo1P387WJHJx1uFbyrRj
185;Macklemore & Ryan Lewis Featuring Ray Dalton;Can't Hold Us;5;https://open.spotify.com/track/22skzmqfdWrjJylampe0kt
186;Meat Loaf;I'd Do Anything For Love (But I Won't Do That);5;https://open.spotify.com/track/391CwgcBxvUHmEKda2b5In
187;Monica;The First Night;5;https://open.spotify.com/track/4nbs8cT5xWhyZnmQwb4KC9
188;Next;Too Close;5;https://open.spotify.com/track/2Mb3zpobD0CvJGWv6NpsPy
189;Paul Mauriat And His Orchestra;Love Is Blue (L'amour Est Bleu);5;https://open.spotify.com/track/6vUhLEkY17FlxjEysVA6SX
190;Paula Abdul;Rush Rush;5;https://open.spotify.com/track/3fyHsXImY24Yxf2YRYOG65
191;Prince;When Doves Cry;5;https://open.spotify.com/track/0lY5HA88PAZkeiOMMQDvxg
192;Ray Charles;I Can't Stop Loving You;5;https://open.spotify.com/track/2b8cQfktOXRqaeAXSB4zaP
193;Ricky Martin;Livin' La Vida Loca;5;https://open.spotify.com/track/0Ph6L4l8dYUuXFmb71Ajnd
194;Rihanna;Rude Boy;5;https://open.spotify.com/track/02G0XtMP9KN3h3xqXnMr4m
195;Roberta Flack;Killing Me Softly With His Song;5;https://open.spotify.com/track/3gsCAGsWr6pUm1Vy7CPPob
196;Rod Stewart;Maggie May/Reason To Believe;5;https://open.spotify.com/track/6rovOdp3HgK1DeAMYDzoA7
197;SSgt Barry Sadler;The Ballad Of The Green Berets;5;https://open.spotify.com/track/0yjNmllr3Ew6f97TqPuEqa
198;Sir Mix-A-Lot;Baby Got Back;5;https://open.spotify.com/track/2vHzLVODw6jgIRzMpBB0Cs
199;The 4 Seasons;Big Girls Don't Cry;5;https://open.spotify.com/track/4AniPkv5vgdE1n6VKreiyI
200;The 4 Seasons;Sherry;5;https://open.spotify.com/track/7qVUFZilySegJEvKTERweo
201;The Beatles;Can't Buy Me Love;5;https://open.spotify.com/track/4iVudOuRcKPGK8y7GqSZKP
202;The Beatles With Billy Preston;Get Back;5;https://open.spotify.com/track/1Fmx1H4LS8thxeKaZSQw6d
203;The Emotions;Best Of My Love;5;https://open.spotify.com/track/5U2UT25lVVeObiDLzyg6ZZ
204;The Everly Brothers;Cathy's Clown;5;https://open.spotify.com/track/27bw4i8LnECzVlbMZ4kFHw
205;The Osmonds;One Bad Apple;5;https://open.spotify.com/track/50UoJUrslRVqG0cg6uboyn
206;The Rascals;People Got To Be Free;5;https://open.spotify.com/track/49oQUbmhXqjGb850ERxtfb
207;Van Halen;Jump;5;https://open.spotify.com/track/6SdQfCiVae1EXK1pQ6b92o
208;Vanessa Williams;Save The Best For Last;5;https://open.spotify.com/track/4yRUjOBsj0cpjabtum0fML
209;Wings;Silly Love Songs;5;https://open.spotify.com/track/6Xnm883P8sUpnnGv4V4kL2
210;50 Cent Featuring Nate Dogg;21 Questions;4;https://open.spotify.com/track/7nYvUtkQMx1v80S2FH2s9J
211;Aerosmith;I Don't Want To Miss A Thing;4;https://open.spotify.com/track/5qlJg0Wbj3sslxfwiaRNpq
212;Andy Gibb;I Just Want To Be Your Everything;4;https://open.spotify.com/track/5EdlwzcgIAYs2HGvOnczPN
213;B.J. Thomas;Raindrops Keep Fallin' On My Head;4;https://open.spotify.com/track/2s1Yh0AywJhLsKKZ9vM0tm
214;BLACKstreet (Featuring Dr. Dre);No Diggity;4;https://open.spotify.com/track/6MdqqkQ8sSC0WB4i8PyRuQ
215;Bee Gees;How Can You Mend A Broken Heart;4;https://open.spotify.com/track/5ubvP9oKmxLUVq506fgLhk
216;Bee Gees;Stayin' Alive;4;https://open.spotify.com/track/3mRM4NM8iO7UBqrSigCQFH
217;Beyonce;Single Ladies (Put A Ring On It);4;https://open.spotify.com/track/2ZBNclC5wm4GtiWaeh0DMx
218;Bobbie Gentry;Ode To Billie Joe;4;https://open.spotify.com/track/4FdDorlbJTVHcH3djLbIfn
219;Bobby Vinton;Roses Are Red (My Love);4;https://open.spotify.com/track/5zw4SajQ2IKvjnSWXOSDrh
220;Bobby Vinton;There! I've Said It Again;4;https://open.spotify.com/track/3mwiyHBHfAzOe89MwqJeEb
221;Bon Jovi;Livin' On A Prayer;4;https://open.spotify.com/track/0ee1DiZF94NSqqpG0XHUzH
222;Bonnie Tyler;Total Eclipse Of The Heart;4;https://open.spotify.com/track/7wuJGgpTNzbUyn26IOY6rj
223;Bruno Mars;Grenade;4;https://open.spotify.com/track/7qVUFZilySegJEvKTERweo
224;Bruno Mars;Just The Way You Are;4;https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ
225;Cardi B Featuring Megan Thee Stallion;WAP;4;https://open.spotify.com/track/0LMNckdqhd2eQr5xV5NGRi
226;Carpenters;(They Long To Be) Close To You;4;https://open.spotify.com/track/50q2aUjWoTn6CJIfSPRJQA
227;Celine Dion;The Power Of Love;4;https://open.spotify.com/track/5kK1Iru9ogP3Iy1zsANU1n
228;Cher;Believe;4;https://open.spotify.com/track/7qVUFZilySegJEvKTERweo
229;Christina Aguilera;Come On Over Baby (All I Want Is You);4;https://open.spotify.com/track/0KT6DLAELYSbgfUemzwGPX
